id_client,date_consultation,origine_agence,canal
131199JOSEP,2025-05-26,LCL,Téléphone
120899BARBE,2025-05-26,LCL,Agence
070668TOUSS,2025-05-26,CA,Téléphone
210673DEVAU,2025-05-26,CA,Agence
190775KLEIN,2025-05-26,SOF,Téléphone
261175REGNI,2025-05-26,SOF,Web
121085BAUDR,2025-05-26,CA,Téléphone
170288POTIE,2025-05-26,SOF,Téléphone
111299MARIO,2025-05-26,CA,Téléphone
260701MASSE,2025-05-26,SOF,Web
270268VALLÉ,2025-05-26,LCL,Téléphone
300876DUPUY,2025-05-26,LCL,Téléphone
270265DENIS,2025-05-26,SOF,Web
230604DELAT,2025-05-26,LCL,Web
290781GUYOT,2025-05-26,CA,Agence
271192MASSE,2025-05-26,LCL,Téléphone
270606CARON,2025-05-26,SOF,Agence
261089KLEIN,2025-05-26,SOF,Agence
220300REY,2025-05-26,CA,Web
200283GROND,2025-05-26,CA,Agence
080306BERTI,2025-05-26,SOF,Web
070406LOPEZ,2025-05-26,LCL,Web
040696DELMA,2025-05-26,LCL,Web
170188LOISE,2025-05-26,LCL,Web
030279GEORG,2025-05-26,CA,Agence
281287BLANC,2025-05-26,CA,Web
200681MALLE,2025-05-26,SOF,Web
071097LEBRU,2025-05-26,LCL,Web
250871BENAR,2025-05-26,SOF,Web
251071BLANC,2025-05-26,SOF,Web
051276MOREA,2025-05-26,LCL,Téléphone
161072LEBRU,2025-05-26,CA,Téléphone
270866COLLE,2025-05-26,SOF,Web
250903BERTH,2025-05-26,LCL,Agence
170475MOULI,2025-05-26,CA,Téléphone
200496BRETO,2025-05-26,CA,Téléphone
080982FLEUR,2025-05-26,LCL,Web
210802MAURI,2025-05-26,CA,Web
270485LECOM,2025-05-26,CA,Téléphone
190303COSTE,2025-05-26,SOF,Web
150906RAYNA,2025-05-26,CA,Agence
210503PETIT,2025-05-26,SOF,Téléphone
191284ROUX,2025-05-26,CA,Web
090669TANGU,2025-05-26,SOF,Téléphone
090181CLERC,2025-05-26,CA,Web
141164MAURY,2025-05-26,CA,Web
120403WEISS,2025-05-26,CA,Web
221005ROUSS,2025-05-26,CA,Web
210580MARIO,2025-05-26,CA,Web
251166FAIVR,2025-05-26,LCL,Agence
120582BLOND,2025-05-26,SOF,Web
210173GUILL,2025-05-26,SOF,Téléphone
270882MORIN,2025-05-26,SOF,Téléphone
230973PELTI,2025-05-26,SOF,Téléphone
280191LELIÈ,2025-05-26,CA,Téléphone
