id_client,date_consultation,origine_agence,canal
210783MARTI,2025-05-24,SOF,Web
170804CARRE,2025-05-24,CA,Téléphone
230588BLANC,2025-05-24,CA,Téléphone
080901HERNA,2025-05-24,CA,Téléphone
140207RAYMO,2025-05-24,LCL,Téléphone
310572MENAR,2025-05-24,CA,Téléphone
120696DANIE,2025-05-24,LCL,Web
290474LECON,2025-05-24,CA,Web
210869BARBI,2025-05-24,LCL,Téléphone
020492MAURI,2025-05-24,SOF,Agence
180165CARLI,2025-05-24,SOF,Agence
260403RENAU,2025-05-24,CA,Web
081069DELMA,2025-05-24,CA,Web
240289GUIBE,2025-05-24,SOF,Web
231272PERON,2025-05-24,CA,Agence
190584BLANC,2025-05-24,LCL,Agence
190901PONS,2025-05-24,CA,Téléphone
160684JULIE,2025-05-24,LCL,Agence
080382DUPUI,2025-05-24,SOF,Web
130274BONNE,2025-05-24,LCL,Téléphone
241278MERLE,2025-05-24,SOF,Agence
020198LOPES,2025-05-24,CA,Téléphone
081002LE RO,2025-05-24,SOF,Agence
121104GOSSE,2025-05-24,SOF,Téléphone
130674BLANC,2025-05-24,CA,Web
280366GROND,2025-05-24,CA,Agence
060697VIDAL,2025-05-24,SOF,Téléphone
260180PINEA,2025-05-24,SOF,Agence
310568MORIN,2025-05-24,SOF,Web
040485AUBER,2025-05-24,SOF,Web
050371COLAS,2025-05-24,CA,Web
240368LEMON,2025-05-24,LCL,Agence
210891LECON,2025-05-24,CA,Agence
071197PELTI,2025-05-24,SOF,Web
101175HEBER,2025-05-24,CA,Téléphone
030182LEBLA,2025-05-24,SOF,Web
021099LAMY,2025-05-24,CA,Téléphone
110969ALBER,2025-05-24,SOF,Téléphone
180195PIRES,2025-05-24,SOF,Web
090980GEORG,2025-05-24,CA,Web
031094POIRI,2025-05-24,LCL,Web
090203GOMES,2025-05-24,CA,Téléphone
090482ROUX,2025-05-24,LCL,Agence
121267PAYET,2025-05-24,SOF,Agence
091199VERDI,2025-05-24,SOF,Web
