id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
220386BUISS,2025-04-23,,surveillance,FIC3,SOF
220386BUISS,,2025-05-27,inscription,FIC4,SOF
241206GUICH,2025-04-13,,surveillance,FIC2,LCL
240772THIBA,2025-04-10,,surveillance,FIC2,LCL
240772THIBA,,2025-05-15,inscription,FIC1,LCL
050289GROS,2025-04-13,,surveillance,FIC4,CA
050289GROS,,2025-05-18,inscription,FIC4,CA
020701LEDUC,2025-04-20,,surveillance,FIC4,LCL
020881TANGU,2025-04-18,,surveillance,FIC2,CA
020881TANGU,,2025-05-22,inscription,FIC1,SOF
070670GARNI,2025-04-10,,surveillance,FIC1,SOF
070670GARNI,,2025-05-17,inscription,FIC4,SOF
061097LETEL,2025-04-21,,surveillance,FIC1,LCL
061097LETEL,,2025-05-25,inscription,FIC4,LCL
100388BECKE,2025-04-12,,surveillance,FIC1,LCL
100388BECKE,,2025-05-17,inscription,FIC1,SOF
230472VALET,2025-04-19,,surveillance,FIC2,CA
230472VALET,,2025-05-25,inscription,FIC4,SOF
190789LEBLA,2025-04-17,,surveillance,FIC4,SOF
190789LEBLA,,2025-05-21,inscription,FIC1,LCL
200583PONS,2025-04-19,,surveillance,FIC3,SOF
280375GRENI,2025-04-15,,surveillance,FIC2,SOF
080901BRUNE,2025-04-23,,surveillance,FIC4,CA
080901BRUNE,,2025-05-24,inscription,FIC1,CA
081183MEYER,2025-04-08,,surveillance,FIC1,LCL
280365BRUNE,2025-04-15,,surveillance,FIC2,SOF
280365BRUNE,,2025-05-16,inscription,FIC1,CA
120203LEBON,2025-04-21,,surveillance,FIC4,SOF
120203LEBON,,2025-05-24,inscription,FIC2,LCL
230784MACE,2025-04-16,,surveillance,FIC1,SOF
240983PETIT,2025-04-09,,surveillance,FIC4,SOF
240983PETIT,,2025-05-10,inscription,FIC1,SOF
300489DEVAU,2025-04-15,,surveillance,FIC2,CA
300489DEVAU,,2025-05-22,inscription,FIC4,LCL
160202FAURE,2025-04-23,,surveillance,FIC3,SOF
160202FAURE,,2025-05-25,inscription,FIC1,SOF
020777BENOI,2025-04-12,,surveillance,FIC1,LCL
020777BENOI,,2025-05-18,inscription,FIC4,CA
011166BAUDR,2025-04-12,,surveillance,FIC1,SOF
021276PASCA,2025-04-19,,surveillance,FIC2,LCL
040685DA CO,2025-04-22,,surveillance,FIC4,SOF
120775POULA,2025-04-08,,surveillance,FIC3,LCL
061099RENAR,2025-04-16,,surveillance,FIC4,SOF
300774GONCA,2025-04-18,,surveillance,FIC2,CA
300774GONCA,,2025-05-24,inscription,FIC3,LCL
120273RENAU,2025-04-19,,surveillance,FIC2,CA
120273RENAU,,2025-05-26,inscription,FIC2,CA
291087DIAZ,2025-04-08,,surveillance,FIC1,LCL
200600LAGAR,2025-04-13,,surveillance,FIC3,SOF
200600LAGAR,,2025-05-14,inscription,FIC1,SOF
011294ROBER,2025-04-18,,surveillance,FIC2,SOF
210990MAURI,2025-04-21,,surveillance,FIC4,CA
280900NORMA,2025-04-18,,surveillance,FIC1,LCL
280900NORMA,,2025-05-22,inscription,FIC4,SOF
210265DUPUY,2025-04-10,,surveillance,FIC1,CA
100967GAY,2025-04-13,,surveillance,FIC1,LCL
100967GAY,,2025-05-17,inscription,FIC2,LCL
281205DIAS,2025-04-17,,surveillance,FIC3,LCL
281205DIAS,,2025-05-23,inscription,FIC3,SOF
260673COURT,2025-04-08,,surveillance,FIC4,CA
260673COURT,,2025-05-13,inscription,FIC1,SOF
100764BIGOT,2025-04-18,,surveillance,FIC1,LCL
100764BIGOT,,2025-05-19,inscription,FIC2,CA
310196GILLE,2025-04-18,,surveillance,FIC2,CA
141203MOREN,2025-04-20,,surveillance,FIC2,CA
141203MOREN,,2025-05-23,inscription,FIC3,SOF
260303BRUNE,2025-04-14,,surveillance,FIC4,LCL
260303BRUNE,,2025-05-20,inscription,FIC4,LCL
120499LELIÈ,2025-04-20,,surveillance,FIC1,CA
260276AUBER,2025-04-22,,surveillance,FIC2,LCL
260276AUBER,,2025-05-28,inscription,FIC2,SOF
140767LESAG,2025-04-19,,surveillance,FIC1,LCL
140767LESAG,,2025-05-21,inscription,FIC2,SOF
060894CHARL,2025-04-23,,surveillance,FIC4,CA
060894CHARL,,2025-05-30,inscription,FIC1,LCL
100584GAUDI,2025-04-17,,surveillance,FIC2,LCL
100584GAUDI,,2025-05-19,inscription,FIC1,LCL
100388VERDI,2025-04-13,,surveillance,FIC4,LCL
100388VERDI,,2025-05-16,inscription,FIC3,LCL
050295LAMY,2025-04-14,,surveillance,FIC4,CA
