id_client,date_consultation,origine_agence,canal
241072MARTI,2025-06-15,LCL,Web
191092POTIE,2025-06-15,LCL,Web
091006BOUTI,2025-06-15,CA,Agence
260886GUILL,2025-06-15,LCL,Web
140865BOUCH,2025-06-15,LCL,Agence
050872PICAR,2025-06-15,SOF,Web
280866MARTI,2025-06-15,SOF,Web
040165GUILB,2025-06-15,SOF,Agence
180681LECLE,2025-06-15,LCL,Téléphone
020704FONTA,2025-06-15,CA,Agence
100891PICAR,2025-06-15,SOF,Agence
110975LEBRU,2025-06-15,CA,Agence
270677ALEXA,2025-06-15,CA,Agence
200271LETEL,2025-06-15,SOF,Web
040487GUYOT,2025-06-15,CA,Web
231206BAILL,2025-06-15,SOF,Agence
011264BOUVE,2025-06-15,CA,Téléphone
070790BLANC,2025-06-15,LCL,Téléphone
020976BENOI,2025-06-15,LCL,Téléphone
020180PAREN,2025-06-15,SOF,Téléphone
170978ALVES,2025-06-15,SOF,Téléphone
210596TECHE,2025-06-15,SOF,Web
280293DIAZ,2025-06-15,SOF,Web
041095DE SO,2025-06-15,SOF,Web
220605MAURI,2025-06-15,LCL,Agence
010289POIRI,2025-06-15,CA,Téléphone
280598CARON,2025-06-15,SOF,Téléphone
181293MILLE,2025-06-15,CA,Web
150199BERGE,2025-06-15,CA,Agence
030985RIBEI,2025-06-15,CA,Web
110987MARÉC,2025-06-15,CA,Web
220576RAYNA,2025-06-15,LCL,Agence
250777GONCA,2025-06-15,SOF,Agence
160784HAMEL,2025-06-15,LCL,Web
270891LOMBA,2025-06-15,CA,Agence
170299FAURE,2025-06-15,SOF,Agence
270171CHAUV,2025-06-15,CA,Téléphone
291202GONZA,2025-06-15,SOF,Agence
100485MENAR,2025-06-15,CA,Agence
050568MAILL,2025-06-15,CA,Web
110900CHEVA,2025-06-15,CA,Web
051076DENIS,2025-06-15,SOF,Téléphone
120597CHART,2025-06-15,LCL,Téléphone
231066BARRE,2025-06-15,LCL,Agence
301299MATHI,2025-06-15,SOF,Téléphone
080801BERGE,2025-06-15,CA,Web
051078DELMA,2025-06-15,CA,Web
171165COUTU,2025-06-15,LCL,Agence
080283DELAH,2025-06-15,CA,Agence
211075CHARR,2025-06-15,CA,Téléphone
061278BARTH,2025-06-15,SOF,Agence
071169HAMEL,2025-06-15,CA,Web
