id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
250864MARIN,2025-04-16,,surveillance,FIC2,CA
250864MARIN,,2025-05-17,inscription,FIC4,CA
210394JACQU,2025-04-20,,surveillance,FIC1,LCL
210394JACQU,,2025-05-27,inscription,FIC3,SOF
241198FERNA,2025-04-28,,surveillance,FIC1,LCL
241198FERNA,,2025-05-29,inscription,FIC2,CA
020582MOREL,2025-04-20,,surveillance,FIC3,SOF
020582MOREL,,2025-05-26,inscription,FIC1,SOF
070190MAURI,2025-04-19,,surveillance,FIC1,SOF
070190MAURI,,2025-05-26,inscription,FIC2,CA
010506DUPON,2025-04-23,,surveillance,FIC3,CA
030977WEISS,2025-04-27,,surveillance,FIC3,LCL
030977WEISS,,2025-05-30,inscription,FIC4,LCL
250967MILLE,2025-04-28,,surveillance,FIC2,CA
130589THIBA,2025-04-30,,surveillance,FIC1,LCL
130589THIBA,,2025-06-03,inscription,FIC4,CA
070684GAY,2025-04-21,,surveillance,FIC2,SOF
140384MARÉC,2025-04-20,,surveillance,FIC4,LCL
290390LEFOR,2025-04-24,,surveillance,FIC4,SOF
141077ALLAR,2025-04-26,,surveillance,FIC1,CA
170792ALEXA,2025-04-23,,surveillance,FIC3,LCL
170792ALEXA,,2025-05-24,inscription,FIC4,CA
110697ROCHE,2025-04-22,,surveillance,FIC3,LCL
070782MICHE,2025-04-23,,surveillance,FIC1,CA
070782MICHE,,2025-05-24,inscription,FIC1,CA
180196RAYNA,2025-04-28,,surveillance,FIC1,LCL
180196RAYNA,,2025-06-04,inscription,FIC3,CA
071299LEGRA,2025-04-29,,surveillance,FIC2,LCL
071299LEGRA,,2025-06-04,inscription,FIC2,LCL
141183BOUVI,2025-04-27,,surveillance,FIC2,LCL
181268BERNI,2025-04-27,,surveillance,FIC2,SOF
181268BERNI,,2025-05-28,inscription,FIC3,SOF
260671PAREN,2025-04-24,,surveillance,FIC3,CA
260671PAREN,,2025-05-30,inscription,FIC2,LCL
270191SAMSO,2025-05-01,,surveillance,FIC3,LCL
150600BRUN,2025-04-22,,surveillance,FIC1,CA
281087LEDOU,2025-04-16,,surveillance,FIC4,SOF
281087LEDOU,,2025-05-23,inscription,FIC2,SOF
100669LETEL,2025-05-01,,surveillance,FIC3,CA
100669LETEL,,2025-06-06,inscription,FIC4,LCL
020966PERRO,2025-04-28,,surveillance,FIC4,CA
021075BRIAN,2025-04-17,,surveillance,FIC1,CA
050898LEFÈV,2025-04-23,,surveillance,FIC3,CA
170795BOYER,2025-04-27,,surveillance,FIC3,LCL
230964MUNOZ,2025-04-25,,surveillance,FIC3,LCL
180774GUICH,2025-04-17,,surveillance,FIC1,SOF
180774GUICH,,2025-05-21,inscription,FIC2,LCL
220291COHEN,2025-04-18,,surveillance,FIC4,LCL
281271BONNE,2025-04-20,,surveillance,FIC1,SOF
281271BONNE,,2025-05-27,inscription,FIC1,SOF
070404DIALL,2025-05-01,,surveillance,FIC4,SOF
070680BOULA,2025-04-21,,surveillance,FIC2,SOF
070389BARTH,2025-04-20,,surveillance,FIC3,SOF
070389BARTH,,2025-05-24,inscription,FIC1,LCL
301164LELEU,2025-04-16,,surveillance,FIC2,CA
301190LEMON,2025-04-20,,surveillance,FIC2,CA
301190LEMON,,2025-05-24,inscription,FIC4,LCL
240268FERNA,2025-04-23,,surveillance,FIC1,CA
240268FERNA,,2025-05-27,inscription,FIC4,SOF
230173GROS,2025-04-23,,surveillance,FIC3,SOF
230173GROS,,2025-05-26,inscription,FIC2,LCL
110268LEDOU,2025-04-23,,surveillance,FIC4,CA
100785HERVÉ,2025-04-28,,surveillance,FIC2,CA
100785HERVÉ,,2025-06-04,inscription,FIC2,LCL
190881WEBER,2025-04-24,,surveillance,FIC4,CA
131192DELMA,2025-04-25,,surveillance,FIC3,CA
121083OLLIV,2025-04-21,,surveillance,FIC2,CA
110874CHRÉT,2025-04-23,,surveillance,FIC4,SOF
020591LESAG,2025-04-23,,surveillance,FIC2,LCL
301278MASSO,2025-04-27,,surveillance,FIC2,LCL
120884PRÉVO,2025-04-21,,surveillance,FIC2,SOF
120884PRÉVO,,2025-05-25,inscription,FIC4,SOF
190892BOUCH,2025-04-29,,surveillance,FIC2,SOF
180402DUMAS,2025-04-24,,surveillance,FIC4,LCL
180402DUMAS,,2025-05-26,inscription,FIC3,LCL
041180LEFEB,2025-04-19,,surveillance,FIC4,SOF
040498MOREA,2025-04-20,,surveillance,FIC4,SOF
040498MOREA,,2025-05-27,inscription,FIC1,CA
