id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
290379POULA,2025-04-20,,surveillance,FIC4,CA
100273RODRI,2025-04-23,,surveillance,FIC3,SOF
100273RODRI,,2025-05-29,inscription,FIC2,CA
260706RICHA,2025-04-29,,surveillance,FIC2,LCL
081092MAURI,2025-04-22,,surveillance,FIC2,SOF
171164LOISE,2025-05-03,,surveillance,FIC2,CA
171164LOISE,,2025-06-04,inscription,FIC2,LCL
181187CARON,2025-04-18,,surveillance,FIC3,SOF
140968CHRÉT,2025-04-29,,surveillance,FIC3,LCL
191178WEISS,2025-04-19,,surveillance,FIC1,SOF
191178WEISS,,2025-05-26,inscription,FIC2,LCL
140379DA SI,2025-04-26,,surveillance,FIC3,CA
150701FRANÇ,2025-04-18,,surveillance,FIC2,CA
150701FRANÇ,,2025-05-23,inscription,FIC4,LCL
031094ANDRE,2025-04-21,,surveillance,FIC4,SOF
010390DUHAM,2025-04-18,,surveillance,FIC3,LCL
051101LECOQ,2025-04-18,,surveillance,FIC4,CA
051101LECOQ,,2025-05-20,inscription,FIC4,LCL
210969GOMES,2025-04-21,,surveillance,FIC4,CA
070589MOREA,2025-04-19,,surveillance,FIC3,SOF
291196PERRE,2025-05-02,,surveillance,FIC4,SOF
291196PERRE,,2025-06-07,inscription,FIC2,LCL
060977DENIS,2025-04-24,,surveillance,FIC4,LCL
010295ROUSS,2025-05-03,,surveillance,FIC4,SOF
240384DAVID,2025-04-27,,surveillance,FIC2,SOF
240384DAVID,,2025-05-30,inscription,FIC3,CA
290471MERLE,2025-04-19,,surveillance,FIC1,CA
290471MERLE,,2025-05-24,inscription,FIC4,CA
140485BLIN,2025-04-22,,surveillance,FIC3,SOF
310388THIER,2025-04-30,,surveillance,FIC2,LCL
310388THIER,,2025-06-02,inscription,FIC2,SOF
011206COUTU,2025-04-18,,surveillance,FIC3,SOF
070270LEMAI,2025-04-27,,surveillance,FIC3,LCL
070270LEMAI,,2025-05-30,inscription,FIC4,LCL
010193VALEN,2025-04-30,,surveillance,FIC2,LCL
010193VALEN,,2025-05-31,inscription,FIC1,CA
010275RIVIÈ,2025-04-20,,surveillance,FIC2,SOF
010275RIVIÈ,,2025-05-27,inscription,FIC1,SOF
020101RODRI,2025-04-18,,surveillance,FIC4,CA
211189NGUYE,2025-04-29,,surveillance,FIC1,LCL
160693BRUN,2025-04-26,,surveillance,FIC3,SOF
