id_client,date_consultation,origine_agence,canal
271080MICHA,2025-06-12,SOF,Web
071183SEGUI,2025-06-12,SOF,Agence
301069BAILL,2025-06-12,LCL,Web
020403FERRA,2025-06-12,LCL,Agence
220865RENAU,2025-06-12,LCL,Agence
290670THIBA,2025-06-12,LCL,Téléphone
190668ARNAU,2025-06-12,LCL,Téléphone
120182REY,2025-06-12,SOF,Agence
240790SANCH,2025-06-12,SOF,Téléphone
120498LE GO,2025-06-12,LCL,Téléphone
260170COSTA,2025-06-12,SOF,Téléphone
091072LAPOR,2025-06-12,CA,Téléphone
190107DELMA,2025-06-12,LCL,Web
111265GUILL,2025-06-12,LCL,Agence
081292MAILL,2025-06-12,SOF,Web
110574MERLE,2025-06-12,CA,Web
030864CORDI,2025-06-12,SOF,Web
070983MAILL,2025-06-12,CA,Téléphone
120983FERNA,2025-06-12,SOF,Web
081078MENAR,2025-06-12,CA,Téléphone
090473MARTI,2025-06-12,LCL,Agence
201069GAY,2025-06-12,CA,Agence
040506MARTI,2025-06-12,LCL,Agence
170490ARNAU,2025-06-12,LCL,Web
050987BOURG,2025-06-12,SOF,Agence
110595MORIN,2025-06-12,LCL,Téléphone
241174BARBI,2025-06-12,CA,Web
020484LANGL,2025-06-12,LCL,Téléphone
231171LECON,2025-06-12,SOF,Agence
221168MONNI,2025-06-12,CA,Agence
060898LELEU,2025-06-12,SOF,Web
201076SIMON,2025-06-12,SOF,Téléphone
230966GARNI,2025-06-12,CA,Téléphone
170178HERVÉ,2025-06-12,SOF,Téléphone
310506ADAM,2025-06-12,CA,Agence
140801GUILL,2025-06-12,CA,Téléphone
080105RENAR,2025-06-12,CA,Téléphone
151202POTIE,2025-06-12,LCL,Web
130992GÉRAR,2025-06-12,LCL,Agence
061275LEBRE,2025-06-12,CA,Téléphone
180986REGNI,2025-06-12,LCL,Agence
241273MARQU,2025-06-12,CA,Agence
031178DESCA,2025-06-12,CA,Téléphone
281165BIGOT,2025-06-12,SOF,Agence
140669SAMSO,2025-06-12,SOF,Agence
050165GONZA,2025-06-12,CA,Téléphone
121290COUTU,2025-06-12,CA,Web
280705ADAM,2025-06-12,CA,Web
250487VAILL,2025-06-12,LCL,Web
120501LEROU,2025-06-12,LCL,Agence
131279COUSI,2025-06-12,CA,Téléphone
131102LECLE,2025-06-12,SOF,Web
200877FOURN,2025-06-12,LCL,Web
081288MERCI,2025-06-12,CA,Téléphone
140277ALLAI,2025-06-12,SOF,Agence
150864CHRÉT,2025-06-12,LCL,Agence
031068PERRI,2025-06-12,CA,Web
280303BERTH,2025-06-12,LCL,Téléphone
150768SCHNE,2025-06-12,SOF,Téléphone
040566MASSO,2025-06-12,LCL,Agence
120482COLAS,2025-06-12,CA,Agence
190495GAY,2025-06-12,LCL,Téléphone
260474LE GA,2025-06-12,CA,Agence
130407MORVA,2025-06-12,LCL,Web
260896PELTI,2025-06-12,CA,Web
110588GUYOT,2025-06-12,SOF,Téléphone
120599RODRI,2025-06-12,LCL,Web
221103JACOB,2025-06-12,SOF,Agence
111184JACQU,2025-06-12,LCL,Web
231168PICAR,2025-06-12,LCL,Web
181176BLIN,2025-06-12,LCL,Téléphone
