id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
220106PERRI,2025-04-29,,surveillance,FIC3,CA
220106PERRI,,2025-06-04,inscription,FIC4,LCL
130603LANGL,2025-05-08,,surveillance,FIC4,SOF
130603LANGL,,2025-06-08,inscription,FIC1,SOF
030665BRETO,2025-05-06,,surveillance,FIC2,SOF
030665BRETO,,2025-06-11,inscription,FIC2,SOF
130577GROND,2025-04-25,,surveillance,FIC1,LCL
130577GROND,,2025-05-28,inscription,FIC1,CA
101189GARNI,2025-05-02,,surveillance,FIC3,CA
101189GARNI,,2025-06-04,inscription,FIC4,CA
240875CHAUV,2025-04-26,,surveillance,FIC3,SOF
240875CHAUV,,2025-05-27,inscription,FIC1,SOF
220998ROCHE,2025-04-24,,surveillance,FIC2,SOF
111264MERCI,2025-05-06,,surveillance,FIC4,LCL
111264MERCI,,2025-06-12,inscription,FIC3,CA
250482JACQU,2025-04-24,,surveillance,FIC2,SOF
260977HAMON,2025-05-08,,surveillance,FIC4,SOF
260977HAMON,,2025-06-11,inscription,FIC3,LCL
121264MAHE,2025-05-04,,surveillance,FIC3,SOF
121264MAHE,,2025-06-06,inscription,FIC4,LCL
040668MULLE,2025-04-25,,surveillance,FIC3,CA
291189FERNA,2025-04-24,,surveillance,FIC2,LCL
241000DUPON,2025-04-30,,surveillance,FIC3,SOF
241000DUPON,,2025-06-06,inscription,FIC1,CA
200988BERTR,2025-05-05,,surveillance,FIC2,SOF
200988BERTR,,2025-06-11,inscription,FIC4,CA
080171RIVIÈ,2025-05-08,,surveillance,FIC4,SOF
211104GUILL,2025-04-24,,surveillance,FIC3,CA
211104GUILL,,2025-05-25,inscription,FIC3,SOF
100385MOULI,2025-04-29,,surveillance,FIC1,SOF
100385MOULI,,2025-06-04,inscription,FIC2,CA
260565MOREA,2025-05-08,,surveillance,FIC3,LCL
260565MOREA,,2025-06-11,inscription,FIC4,SOF
251281LAGAR,2025-05-04,,surveillance,FIC2,LCL
251281LAGAR,,2025-06-08,inscription,FIC3,LCL
291292AUBER,2025-05-08,,surveillance,FIC2,LCL
130500PRÉVO,2025-04-29,,surveillance,FIC1,SOF
101069VERDI,2025-04-30,,surveillance,FIC1,LCL
101069VERDI,,2025-06-06,inscription,FIC2,CA
270695LETEL,2025-05-06,,surveillance,FIC2,SOF
270695LETEL,,2025-06-07,inscription,FIC3,SOF
140803LEMOI,2025-05-04,,surveillance,FIC3,CA
140803LEMOI,,2025-06-06,inscription,FIC1,SOF
200186ROUX,2025-05-05,,surveillance,FIC1,SOF
291296LECON,2025-05-05,,surveillance,FIC3,SOF
291296LECON,,2025-06-10,inscription,FIC3,SOF
250980ALLAR,2025-04-29,,surveillance,FIC2,LCL
