id_client,date_envoi_surveillance,date_envoi_inscription,type_courrier,fic_type,origine_agence
200375COLAS,2025-05-14,,surveillance,FIC4,SOF
030284TESSI,2025-05-16,,surveillance,FIC2,CA
020268LEDOU,2025-05-07,,surveillance,FIC2,SOF
020268LEDOU,,2025-06-07,inscription,FIC4,LCL
170205MICHA,2025-05-13,,surveillance,FIC2,CA
170205MICHA,,2025-06-16,inscription,FIC2,LCL
030575JOURD,2025-05-15,,surveillance,FIC3,SOF
030575JOURD,,2025-06-16,inscription,FIC1,SOF
250866COLAS,2025-05-09,,surveillance,FIC3,SOF
101095HUET,2025-05-17,,surveillance,FIC2,CA
101095HUET,,2025-06-18,inscription,FIC2,CA
090378CLÉME,2025-05-11,,surveillance,FIC3,CA
070286POIRI,2025-05-09,,surveillance,FIC1,CA
091000MAILL,2025-05-04,,surveillance,FIC4,CA
091000MAILL,,2025-06-04,inscription,FIC4,SOF
120872PINEA,2025-05-10,,surveillance,FIC2,SOF
130665LEROU,2025-05-07,,surveillance,FIC3,LCL
130665LEROU,,2025-06-10,inscription,FIC2,LCL
030987DE OL,2025-05-13,,surveillance,FIC2,CA
030987DE OL,,2025-06-13,inscription,FIC2,CA
280593LEFOR,2025-05-18,,surveillance,FIC4,CA
280593LEFOR,,2025-06-20,inscription,FIC1,CA
300670ROSSI,2025-05-04,,surveillance,FIC3,LCL
300670ROSSI,,2025-06-05,inscription,FIC4,LCL
180294DEVAU,2025-05-08,,surveillance,FIC1,SOF
300769LAUNA,2025-05-19,,surveillance,FIC1,CA
170467RIBEI,2025-05-15,,surveillance,FIC4,LCL
170467RIBEI,,2025-06-20,inscription,FIC4,LCL
070586LEMOI,2025-05-07,,surveillance,FIC1,SOF
280290BOUCH,2025-05-10,,surveillance,FIC1,SOF
280290BOUCH,,2025-06-16,inscription,FIC3,CA
080183PONS,2025-05-06,,surveillance,FIC1,CA
080996GÉRAR,2025-05-07,,surveillance,FIC3,CA
080996GÉRAR,,2025-06-10,inscription,FIC3,LCL
061189ROYER,2025-05-12,,surveillance,FIC3,LCL
061189ROYER,,2025-06-12,inscription,FIC1,CA
261271PRÉVO,2025-05-05,,surveillance,FIC2,CA
261271PRÉVO,,2025-06-06,inscription,FIC1,CA
190377GÉRAR,2025-05-18,,surveillance,FIC4,SOF
190377GÉRAR,,2025-06-23,inscription,FIC3,SOF
250990BRUN,2025-05-16,,surveillance,FIC3,CA
120498MOREA,2025-05-11,,surveillance,FIC4,SOF
230594LAUNA,2025-05-08,,surveillance,FIC1,LCL
230594LAUNA,,2025-06-11,inscription,FIC2,CA
090804PERRI,2025-05-12,,surveillance,FIC4,LCL
090804PERRI,,2025-06-14,inscription,FIC1,CA
070787JACQU,2025-05-18,,surveillance,FIC3,LCL
070787JACQU,,2025-06-21,inscription,FIC1,LCL
071203LAMBE,2025-05-13,,surveillance,FIC1,CA
280486LEMAÎ,2025-05-18,,surveillance,FIC2,CA
280486LEMAÎ,,2025-06-23,inscription,FIC3,CA
101276MERCI,2025-05-13,,surveillance,FIC3,CA
020781LESAG,2025-05-04,,surveillance,FIC1,CA
280872BARBI,2025-05-10,,surveillance,FIC4,SOF
170890GOMES,2025-05-12,,surveillance,FIC3,SOF
230669PASCA,2025-05-04,,surveillance,FIC2,CA
230669PASCA,,2025-06-05,inscription,FIC4,LCL
110701KLEIN,2025-05-08,,surveillance,FIC2,SOF
110701KLEIN,,2025-06-10,inscription,FIC4,CA
110875MONNI,2025-05-04,,surveillance,FIC2,CA
301294DIAS,2025-05-08,,surveillance,FIC3,LCL
301294DIAS,,2025-06-13,inscription,FIC4,SOF
170902HAMON,2025-05-04,,surveillance,FIC4,SOF
170902HAMON,,2025-06-05,inscription,FIC2,LCL
010176DOS S,2025-05-10,,surveillance,FIC2,SOF
060379GAY,2025-05-16,,surveillance,FIC2,SOF
130392RAMOS,2025-05-14,,surveillance,FIC3,LCL
050188DIAS,2025-05-11,,surveillance,FIC4,CA
050188DIAS,,2025-06-16,inscription,FIC2,LCL
160766REY,2025-05-12,,surveillance,FIC4,CA
160766REY,,2025-06-13,inscription,FIC3,CA
200805PRÉVO,2025-05-12,,surveillance,FIC2,SOF
180387GÉRAR,2025-05-06,,surveillance,FIC2,CA
260886SALMO,2025-05-08,,surveillance,FIC4,CA
260886SALMO,,2025-06-14,inscription,FIC3,LCL
080501BERGE,2025-05-07,,surveillance,FIC4,CA
290788PHILI,2025-05-14,,surveillance,FIC2,CA
290788PHILI,,2025-06-18,inscription,FIC3,CA
060994BOYER,2025-05-15,,surveillance,FIC1,SOF
210801LEGRO,2025-05-15,,surveillance,FIC1,LCL
020873LELIÈ,2025-05-18,,surveillance,FIC2,SOF
020873LELIÈ,,2025-06-21,inscription,FIC2,SOF
230485BRIAN,2025-05-06,,surveillance,FIC4,LCL
230485BRIAN,,2025-06-06,inscription,FIC1,CA
040686LEROU,2025-05-09,,surveillance,FIC2,CA
040686LEROU,,2025-06-11,inscription,FIC2,LCL
281170DUHAM,2025-05-10,,surveillance,FIC2,SOF
281170DUHAM,,2025-06-15,inscription,FIC2,CA
280387MENAR,2025-05-19,,surveillance,FIC4,LCL
280387MENAR,,2025-06-24,inscription,FIC3,SOF
130274LEDOU,2025-05-18,,surveillance,FIC2,CA
270180GUILL,2025-05-05,,surveillance,FIC1,LCL
